house_data_x,house_data_y,demand_per_house_liters,area_per_house_metersq,capacity_for_tank_per_house_lt,rainfall_estimate_for_city_mm,average_length_of_pipe_per_house,fixed_cost_of_tank_placement_per_house,cost_per_liters_tank_per_house
702.076,765.331,146.608,69.702,6.97,100,61.982,1000,500
559.948,496.992,185.058,97.46,9.746,100,-12.225,1000,500
761.304,931.685,105.727,90.53,9.053,100,24.741,1000,500
613.395,623.367,85.965,63.239,6.324,100,36.505,1000,500
-11.305,529.792,42.01,52.429,5.243,100,76.245,1000,500
680.986,1008.571,200.387,202.225,20.223,100,-11.044,1000,500
682.488,967.829,99.644,62.845,6.284,100,33.063,1000,500
1039.431,418.343,129.72,70.72,7.072,100,30.567,1000,500
145.821,169.105,104.339,95.624,9.562,100,58.26,1000,500
756.818,590.47,84.489,104.092,10.409,100,-53.609,1000,500
372.001,535.957,119.355,136.042,13.604,100,75.54,1000,500
-93.14,168.153,34.416,165.699,16.57,100,16.957,1000,500
746.136,825.359,193.411,113.797,11.38,100,32.348,1000,500
137.167,497.623,70.81,199.022,19.902,100,31.83,1000,500
838.779,370.962,96.817,97.04,9.704,100,91.643,1000,500
601.932,1107.011,100.198,64.781,6.478,100,45.966,1000,500
752.158,494.516,88.321,179.773,17.977,100,8.461,1000,500
451.853,1040.941,165.741,102.143,10.214,100,12.494,1000,500
841.345,830.824,6.738,113.407,11.341,100,-4.387,1000,500
807.152,590.632,119.458,72.762,7.276,100,-53.306,1000,500
467.997,521.845,172.989,108.464,10.846,100,-65.739,1000,500
622.04,313.643,81.984,152.077,15.208,100,46.105,1000,500
565.967,824.656,77.365,171.43,17.143,100,74.819,1000,500
555.524,932.299,168.791,-7.22,-0.722,100,19.84,1000,500
590.838,1106.992,92.704,103.806,10.381,100,83.474,1000,500
538.671,756.1,25.277,111.613,11.161,100,44.799,1000,500
1.169,230.187,187.479,16.888,1.689,100,57.685,1000,500
142.532,378.83,172.459,75.42,7.542,100,39.273,1000,500
680.098,287.537,49.659,50.219,5.022,100,-12.719,1000,500
10.561,920.643,162.928,182.949,18.295,100,-6.281,1000,500
1007.326,504.02,126.457,93.754,9.375,100,99.225,1000,500
-85.771,311.771,74.288,45.018,4.502,100,21.322,1000,500
416.364,908.952,-18.937,128.702,12.87,100,-2.806,1000,500
686.611,769.133,117.855,145.934,14.593,100,25.89,1000,500
594.044,1101.635,175.668,91.894,9.189,100,36.217,1000,500
87.492,1009.588,70.673,58.923,5.892,100,-82.736,1000,500
36.129,216.275,65.417,26.981,2.698,100,12.814,1000,500
656.291,868.668,85.009,108.341,10.834,100,20.82,1000,500
967.652,440.05,82.651,115.301,11.53,100,58.22,1000,500
897.804,330.215,129.516,125.043,12.504,100,97.308,1000,500
1010.247,407.824,187.978,170.638,17.064,100,82.146,1000,500
87.593,884.517,59.81,11.222,1.122,100,-22.806,1000,500
480.642,511.152,126.232,83.292,8.329,100,83.359,1000,500
509.293,561.16,160.741,122.691,12.269,100,8.728,1000,500
993.512,780.348,96.315,176.218,17.622,100,-39.076,1000,500
53.317,122.376,152.338,125.374,12.537,100,-13.683,1000,500
-14.923,921.062,107.309,116.822,11.682,100,12.075,1000,500
789.397,566.754,139.84,55.118,5.512,100,14.479,1000,500
98.618,754.811,78.303,106.99,10.699,100,47.088,1000,500
106.164,411.58,57.21,70.551,7.055,100,23.651,1000,500
276.841,915.186,165.632,9.669,0.967,100,50.41,1000,500
692.712,941.064,160.466,7.884,0.788,100,23.552,1000,500
754.518,802.952,86.966,188.959,18.896,100,56.047,1000,500
129.954,915.846,124.182,99.709,9.971,100,59.903,1000,500
524.108,994.367,13.049,32.607,3.261,100,21.906,1000,500
768.302,844.9,77.392,7.538,0.754,100,-6.043,1000,500
-93.084,374.097,75.298,11.483,1.148,100,15.682,1000,500
199.249,970.64,236.8,127.018,12.702,100,59.234,1000,500
211.307,878.173,90.28,11.959,1.196,100,108.948,1000,500
182.481,877.379,130.436,85.752,8.575,100,39.014,1000,500
75.552,833.447,174.6,176.204,17.62,100,81.653,1000,500
37.847,1035.467,104.733,114.437,11.444,100,-27.436,1000,500
1010.269,796.765,104.577,202.489,20.249,100,16.965,1000,500
423.962,1142.479,110.916,67.87,6.787,100,39.016,1000,500
597.593,967.891,141.972,123.52,12.352,100,13.718,1000,500
865.134,262.898,119.567,113.552,11.355,100,17.144,1000,500
139.547,821.951,80.538,112.485,11.248,100,67.94,1000,500
91.202,210.4,55.201,107.19,10.719,100,71.076,1000,500
716.825,596.926,46.404,133.197,13.32,100,-15.551,1000,500
-92.449,523.103,82.703,121.965,12.197,100,0.965,1000,500
405.683,1130.614,74.563,-17.222,-1.722,100,-14.936,1000,500
118.889,370.156,22.515,113.402,11.34,100,43.078,1000,500
824.854,186.854,127.902,99.177,9.918,100,80.328,1000,500
63.289,497.595,108.924,7.566,0.757,100,-29.824,1000,500
806.258,304.758,93.374,114.455,11.446,100,50.307,1000,500
747.626,373.959,154.461,82.643,8.264,100,-12.997,1000,500
758.501,900.148,148.904,92.523,9.252,100,38.262,1000,500
687.589,241.426,131.53,97.705,9.77,100,-32.683,1000,500
766.048,304.713,104.569,93.763,9.376,100,78.128,1000,500
265.172,1047.09,104.393,123.917,12.392,100,-8.441,1000,500
89.267,961.524,115.07,73.995,7.4,100,10.995,1000,500
864.201,401.682,228.64,25.963,2.596,100,-2.839,1000,500
775.803,777.28,80.629,88.271,8.827,100,5.89,1000,500
499.145,653.956,116.584,132.571,13.257,100,30.271,1000,500
731.731,607.814,99.862,31.022,3.102,100,86.507,1000,500
394.669,604.165,112.317,51.77,5.177,100,86.155,1000,500
700.978,580.342,157.74,86.802,8.68,100,48.53,1000,500
-25.415,402.859,115.816,48.455,4.846,100,43.049,1000,500
632.335,430.33,114.348,192.303,19.23,100,-28.86,1000,500
807.859,283.883,60.671,80.766,8.077,100,16.985,1000,500
1004.884,509.369,61.012,-11.405,-1.14,100,4.439,1000,500
849.996,464.407,112.406,128.001,12.8,100,62.301,1000,500
467.032,558.186,115.398,56.884,5.688,100,61.756,1000,500
139.758,1025.139,155.439,5.065,0.507,100,79.106,1000,500
614.161,1131.612,29.332,90.754,9.075,100,40.178,1000,500
